PC_name,uptime_sec,Date_local,Date_universal_microsecond
"My PC","11391","2020-12-05 10:42:19.160310","1607157739160310"
"My PC","11419","2020-12-05 10:42:47.224008","1607157767224008"
"My PC","11434","2020-12-05 10:43:02.481372","1607157782481372"
"My PC","11445","2020-12-05 10:43:12.714738","1607157792714738"
"My PC","11524","2020-12-05 10:44:31.773863","1607157871773863"
"My PC","11574","2020-12-05 10:45:22.092786","1607157922092786"
"My PC","11598","2020-12-05 10:45:46.155048","1607157946155064"
"My PC","11617","2020-12-05 10:46:04.752278","1607157964752278"
"My PC","11652","2020-12-05 10:46:39.803896","1607157999803896"
"My PC","11699","2020-12-05 10:47:27.507475","1607158047507475"
"localhost","11744","2020-12-05 10:48:11.730094","1607158091730094"
"localhost","11783","2020-12-05 10:48:51.185895","1607158131185895"
"localhost","1336","2020-12-05 14:29:52.756472","1607171392756472"
"localhost","1427","2020-12-05 14:31:24.187775","1607171484187775"
"localhost","1458","2020-12-05 14:31:54.598534","1607171514598534"
"localhost","1479","2020-12-05 14:32:15.742830","1607171535742830"
"localhost","2445","2020-12-05 14:48:22.080205","1607172502080205"
"localhost","3281","2020-12-05 15:02:18.403662","1607173338403662"
"localhost","3395","2020-12-05 15:04:12.267728","1607173452267728"
"localhost","3460","2020-12-05 15:05:17.149506","1607173517149506"
"localhost","3728","2020-12-05 15:09:45.073738","1607173785073738"
